categories,update_date,text
astro-ph,2009-06-23,spectroscopic observation intermediate polar ex hydra quiescence result spectroscopic observation intermediate polar ip ex hya quiescence presented spin modulated radial velocity consistent outer disc origin detected first time ip spin pulsation modulated velocity near km velocity consistent material circulating outer edge accretion disc suggesting corotation accretion curtain material near roche lobe radius furthermore spin doppler tomograms revealed evidence accretion curtain emission extending velocity km km finding confirmed theoretical prediction king wynn belle et al norton et al ex hya predict large accretion curtain extend distance close roche lobe radius system evidence overflow stream material falling onto magnetosphere observed confirming belle et al disc overflow ex hya quiescence well outburst appears hbeta hgamma spin radial velocity originated rotation funnel outer disc edge halpha produced due flow material along field line far white dwarf narrow component close white dwarf broad base component agreement accretion curtain
hep-th,2007-05-23,quest generalized callias index theorem give prescription compute callias index regulator exponential function find agreement old result odd dimension computing dimension modulus space self dual string formulated index even dimensional loop space think regulator used letter applied index
math.PR math.AG,2007-06-23,approximation extinction probability contact process gr obner basis note give new getting series approximation extinction probability one dimensional contact process gr obner basis
hep-ex,2015-06-30,measurement hadronic form factor k e nue decay shape hadronic form factor f q decay k e nue measured independent analysis compared theoretical calculation fb recorded babar detector pepii electron positron collider corresponding decay branching fraction relative decay k pi measured rd br k e nue br k pi result world average value br k pi normalization form factor q determined f uncertainty statistical systematic external input respectively
nlin.PS physics.chem-ph q-bio.MN,2007-07-24,molecular synchronization wave array allosterically regulated enzyme spatiotemporal pattern formation product activated enzymic reaction high enzyme concentration investigated stochastic simulation catalytic turnover cycle individual enzyme become coherent complex wave pattern molecular synchronization develop analysis mean field approximation indicates observed pattern presence hopf wave bifurcation considered system
math.NA,2007-10-16,stochastic lie group integrator lie group integrator nonlinear stochastic differential equation non commutative vector field whose solution evolves smooth finite dimensional manifold given lie group action generates transport along manifold pull back stochastic flow manifold lie group via action subsequently pull back flow corresponding lie algebra via exponential map construct approximation stochastic flow lie algebra via closed operation push back lie group manifold thus ensuring approximation lie manifold call scheme stochastic munthe kaas method deterministic counterpart stochastic lie group integration scheme castell gaines method involve underlying ordinary differential integrator approximate flow generated truncated stochastic exponential lie series become stochastic lie group integrator scheme munthe kaas method underlying ordinary differential integrator castell gaines method uniformly accurate corresponding stochastic taylor scheme lastly demonstrate method simulating dynamic free rigid body satellite autonomous underwater vehicle perturbed two independent multiplicative stochastic noise process
astro-ph,2009-06-23,alma ideal probe solar chromosphere nature solar chromosphere structuring dynamic remains far properly understood spite intensive research point potential chromospheric observation millimeter wavelength resolve long standing computation carried sophisticated dynamic solar chromosphere due carlsson stein demonstrate millimeter emission extremely sensitive dynamic process chromosphere appropriate wavelength look dynamic signature range mm suggests high resolution observation mm wavelength provided alma unique property reacting hot cool gas thus potential distinguishing rival model solar atmosphere thus initial result obtained observation quiet sun mm bima array resolution arcsec reveal significant oscillation amplitude frequency mhz tendency toward short period oscillation internetwork longer period network region however higher spatial resolution provided alma required clean separation feature within solar atmosphere adequate comparison output comprehensive dynamic simulation
nlin.PS,2007-05-30,formation quasi soliton transverse confined ferromagnetic film medium formation quasi spin wave waveform longitudinally magnetized stripe ferrimagnetic film observed time space resolved brillouin light scattering linear regime found confinement decrease amplitude dynamic magnetization near lateral stripe edge thus called effective dipolar pinning dynamic magnetization take place edge nonlinear regime new stable spin wave packet propagating along waveguide structure transversal instability interaction side wall waveguide important observed experiment numerical simulation pulse evolution shape formed waveform behavior strongly influenced confinement
cond-mat.str-el cond-mat.stat-mech,2015-05-13,spectroscopic property polarons strongly correlated system exact diagrammatic monte carlo recent advance understanding ground excited state electron phonon coupled system obtained novel method diagrammatic monte carlo stochastic optimization enable approximation free calculation matsubara green function imaginary time perform unbiased analytic continuation real frequency exact numeric result ground state property lehmann spectral function optical conductivity different strongly correlated system frohlich polaron rashba pekar exciton polaron pseudo jahn teller polaron exciton interacting phonons hole j
math.RA,2007-11-22,placeholder substructure ii meta fractal made box kite fill infinite dimensional sky zero divisor zds derived cayley dickson process cdp n dimensional hypercomplex number n power least represent singularity approach infinite fractal thereby scale free network integer greater power generates meta fractal sky interpreted strut constant ensemble octahedral vertex figure called box kite fundamental building block zds remarkably simple bit manipulation rule recipe tool transforming one fractal genus others within context wolfram class complexity
cond-mat.mes-hall,2009-09-24,filling factor dependent magnetophonon resonance graphene describe peculiar fine structure acquired plane optical phonon gamma point graphene brought resonance one inter landau level transition material effect pronounced lattice mode associated g band graphene raman spectrum resonance inter landau level transition magnetic field b used measure strength electron phonon coupling directly filling factor dependence used experimentally detect circularly polarized lattice mode
math.CA math.PR,2014-07-31,pfaffians hafnians product real linear functionals prove pfaffian hafnian version lieb inequality determinant permanent positive semi definite matrix hafnian inequality improve lower bound r ev esz sarantopoulos norm product linear functionals real euclidean space subject sometimes called real linear polarization constant
hep-ph,2010-04-23,understanding flavor symmetry breaking nucleon flavor spin structure within chiral quark xqm quark emit goldstone boson flavor symmetry breaking goldstone boson emission process used intepret nucleon flavor spin structure paper inner structure constituent quark implied xqm caused goldstone boson emission process nucleon simplified hamiltonian derived xqm intrinsic wave function constituent quark determined obtained transition probability emission goldstone boson quark give reasonable interpretation flavor symmetry breaking nucleon flavor spin structure
cond-mat.str-el,2015-05-13,tuning correlation effect electron phonon interaction investigate effect tuning phonon energy correlation effect model electron phonon interaction dmft regime itinerant electron instantaneous electron phonon driven correlation static distortion compete similar energy scale find several interesting result including crossover band mott behavior spectral function leading hybrid band mott feature spectral function phonon frequency slightly larger band width since optical conductivity depends sensitively form spectral function regime observable low frequency form optical conductivity resistivity double kondo peak arrangement
hep-ph,2008-11-26,crystal channeling lhc forward proton preserved distribution phase space crystal trap broad x x e distribution particle channel preserved high precision sampled hold distribution steered bent crystal analysis downstream simulation tev large hadron collider crystal adapted accelerator lattice trap diffractively scattered proton emerging interaction point divergence time critical angle set criterion crystal adaptation improving efficiency fold proton angle preserved crystal transmission accuracy microrad make feasible crystal application measuring forward proton lhc
hep-ph,2008-11-26,probing non standard neutrino interaction supernova neutrino analyze possibility probing non standard neutrino interaction nsi short detection neutrino produced future galactic supernova sn consider effect nsi neutrino propagation sn envelope within three neutrino framework paying special attention inclusion nsi induced resonant conversion may take place deleptonised inner layer possibility detecting nsi effect megaton water cherenkov detector either modulation effect bar nu e spectrum due passage shock wave sn envelope ii time dependence electron fraction iii earth matter effect finally possible detectability neutronization nu e burst find bar nu e spectrum exhibit dramatic feature due internal nsi induced resonant conversion occurs non universal nsi strength small flavor changing nsi time
physics.optics physics.comp-ph,2022-03-31,convergence discrete dipole approximation theoretical analysis performed rigorous theoretical convergence analysis discrete dipole approximation dda prove error measured quantity bounded sum linear quadratic term size dipole latter range dda applicability moreover linear term significantly smaller cubically non cubically shaped scatterers therefore small error cubically shaped particle much smaller non cubically shaped relative importance linear term decrease increasing size hence convergence dda large enough scatterers quadratic common range extensive numerical simulation carried wide range finally discus number new development dda consequence convergence
q-bio.PE q-bio.CB quant-ph,2007-05-23,origin adaptive mutant quantum measurement supplement paper arxiv q bio containing text correspondence sent nature
physics.optics physics.comp-ph,2008-07-29,convergence discrete dipole approximation ii extrapolation increase accuracy propose extrapolation allows accuracy improvement discrete dipole approximation computation studied empirically extensive simulation test case many different discretizations quality extrapolation improves refining discretization reaching extraordinary especially cubically shaped particle two order magnitude decrease error demonstrated propose estimate extrapolation error proven reliable finally propose simple directly separate shape discretization error illustrated one test
q-bio.QM q-bio.MN,2011-11-09,remark number steady state multiple futile cycle multisite phosphorylation dephosphorylation cycle motif repeatedly used cell signaling motif generate variety dynamic behavior like bistability ultrasensitivity without direct positive feedback paper number positive steady state general multisite phosphorylation dephosphorylation cycle number positive steady state varies changing biological parameter analytically parameter range least n even odd steady state never n steady state particular implies n including single level mapk cascade three steady state parameter near standard michaelis menten quasi steady state condition n steady state parameter far standard michaelis menten quasi steady state condition one steady state
physics.optics physics.comp-ph,2007-05-23,discrete dipole approximation simulation light scattering particle much larger wavelength manuscript investigate capability discrete dipole approximation dda simulate scattering particle much larger wavelength incident light describe optimized publicly available dda computer program process large number dipole required simulation numerical simulation light scattering sphere size parameter refractive index respectively presented compared exact result mie theory error integral angle resolved scattering quantity generally increase systematic dependence x computational time increase steeply reaching value week cluster processor main distinctive feature computer program ability parallelize single dda simulation cluster computer allows simulate light scattering large particle like one considered manuscript current limitation possible way improvement discussed
physics.optics physics.comp-ph,2022-03-30,discrete dipole approximation overview recent development review discrete dipole approximation dda general simulate light scattering arbitrarily shaped particle put historical context discus recent development taking viewpoint general framework integral equation electric field review theory dda numerical aspect latter critical importance practical application finally position dda among method light scattering simulation shown possible future development discussed
hep-ph hep-lat nucl-th,2008-11-26,scalar radius pion zero form factor quadratic pion scalar radius la r ra pi play important role precise determination pi pi scattering recently yndur omn e representation null isospin non strange pion scalar form factor obtains la r ra pi pm fm value larger one calculated solving corresponding muskhelishvili omn e equation la r ra pi pm fm large discrepancy value given precision result reanalyze yndur imposing continuity resulting pion scalar form factor tiny change input pi pi phase shift zero form factor wave matrix required accounted resulting value la r ra pi pm fm main source error determination experimental uncertainty low energy wave pi pi phase shift another important contribution error yet settled asymptotic behaviour phase scalar form factor qcd
math.OA math.FA,2008-09-05,multilinear function series conditionally free probability amalgamation case freeness monotonic independence notion conditional freeness meaningful complex valued state replaced positive conditional expectation framework paper present several positivity result version central limit theorem analogue conditionally free r transform constructed mean multilinear function series
math.QA math-ph math.MP,2009-11-13,quantum group isometry classical noncommutative geometry formulate quantum generalization notion group riemannian isometry compact riemannian manifold introducing natural notion smooth isometric action compact quantum group classical noncommutative manifold described spectral triple proving existence universal object called quantum isometry group category compact quantum group acting smoothly isometrically given possibly noncommutative manifold satisfying certain regularity assumption fact identify quantum isometry group universal object bigger category namely category quantum family smooth isometry defined along line woronowicz soltan construct spectral triple hilbert space form noncommutative manifold equivariant respect natural unitary representation quantum isometry group give explicit description quantum isometry group commutative noncommutative torus context obtain quantum double torus defined cite hajac universal quantum group holomorphic isometry noncommutative torus
physics.gen-ph quant-ph,2010-04-26,general system theory like quantum semantics fuzzy set outlined possibility extend quantum formalism relation requirement general system theory done quantum semantics arising deep logical structure quantum theory possible taking account logical openness relationship observer system going considering truth value quantum proposition within context fuzzy set useful systemics conclusion propose example formal quantum coherence
cond-mat.stat-mech cond-mat.mtrl-sci,2007-11-19,nonequilibrium entropy limiter lattice boltzmann method construct system nonequilibrium entropy limiter lattice boltzmann method lbm limiter erase spurious oscillation without blurring shock affect smooth solution general lbm flux limiter finite difference finite volume finite element method lbm main idea behind construction nonequilibrium entropy limiter scheme transform field scalar quantity nonequilibrium entropy two family limiter restriction nonequilibrium entropy entropy trimming ii filtering nonequilibrium entropy entropy filtering physical property lbm additional benefit control entropy production accurate estimate introduced artificial dissipation possible constructed limiter tested classical numerical example athermal shock tube initial density ratio lid driven cavity reynolds number coarse grid limiter construction applicable entropic non entropic quasiequilibria
astro-ph nlin.CD physics.plasm-ph physics.space-ph,2015-05-13,astrophysical gyrokinetics kinetic fluid turbulent cascade magnetized weakly collisional plasma theoretical framework plasma turbulence astrophysical plasma solar wind interstellar medium galaxy cluster accretion disk key assumption turbulence anisotropic respect mean magnetic field frequency low compared ion cyclotron frequency energy injected outer scale scale converted heat ultimately done without collision kinetic cascade develops brings energy collisional scale space velocity nature depends physic plasma fluctuation physically distinct scale range kinetic systematically reduced tractable set equation inertial range ion gyroscale kinetic cascade split cascade alfvenic fluctuation governed rmhd equation collisional collisionless scale passive cascade compressive fluctuation obey linear kinetic equation along moving field line associated alfvenic component dissipation range ion electron gyroscales two cascade kinetic alfven wave kaw cascade governed two fluid like electron rmhd equation passive phase space cascade ion entropy fluctuation latter cascade brings energy inertial range fluctuation damped collisionless wave particle interaction ion gyroscale collisional scale phase space lead ion heating kaw energy similarly damped electron gyroscale converted electron heat kolmogorov style scaling relation derived cascade astrophysical space physical application discussed detail
nlin.PS nlin.SI,2007-09-23,evolution solitary wave undular bore shallow water flow gradual slope bottom friction paper considers propagation shallow water solitary nonlinear periodic wave gradual slope bottom friction framework variable coefficient korteweg de vries equation whitham averaging recent development theory perturbed integrable equation general enables u improve known result adiabatic evolution isolated solitary wave periodic wave train presence variable topography bottom friction modeled chezy law importantly effect factor propagation undular bore essentially unsteady system consideration particular shown combined action variable topography bottom friction generally imposes certain global restriction undular bore propagation evolution leading solitary wave substantially different isolated solitary wave initial amplitude non local effect due nonlinear wave interaction within undular bore lead additional solitary wave amplitude growth predicted framework traditional adiabatic propagation solitary wave slowly varying medium
quant-ph cs.IT math.IT,2009-11-13,limit relation entropy channel capacity per unit cost quantum mechanical diosi feldmann kosloff arrived conjecture stating limit entropy certain mixture relative entropy system size go infinity conjecture proven paper density matrix first proof analytic us quantum law large number second one clarifies relation channel capacity per unit cost classical quantum channel proof lead generalization conjecture
cs.NE cs.AI,2009-09-29,intelligent location simultaneously active acoustic emission source part intelligent acoustic emission locator described part part ii discus blind source separation time delay estimation location two simultaneously active continuous acoustic emission source location acoustic emission complicated aircraft frame structure difficult non destructive testing article describes intelligent acoustic emission source locator intelligent locator comprises sensor antenna general regression neural network solves location learning example locator tested different test specimen test shown accuracy location depends sound velocity attenuation specimen dimension tested area property stored location accuracy achieved intelligent locator comparable obtained conventional triangulation applicability intelligent locator general since analysis sonic ray path avoided promising non destructive testing aircraft frame structure acoustic emission
gr-qc astro-ph,2008-11-26,inference white dwarf binary system first round mock lisa challenge set report analysis selected single source set first round mock lisa challenge mldc white dwarf binary implemented end end pipeline consisting grid coherent pre processing unit signal detection automatic markov chain monte carlo post processing unit signal evaluation demonstrate signal detection coherent secure accurate increased accuracy supplemented additional information signal parameter markov chain monte carlo demonstrate markov chain monte carlo routine additionally able determine accurately noise level frequency window interest
math.CO,2007-05-23,algorithm classification smooth fano polytopes algorithm produce classification list smooth fano polytopes given input algorithm single number namely positive integer algorithm used classify smooth fano polytopes isomorphism class smooth fano polytopes isomorphism class smooth fano polytopes
cs.NE cs.AI,2007-05-23,intelligent location simultaneously active acoustic emission source part ii part describes intelligent acoustic emission locator part ii discus blind source separation time delay estimation location two continuous acoustic emission source acoustic emission ae analysis used characterization location developing defect material ae source often generate mixture various statistically independent signal difficult ae analysis separation characterization signal component signal various source mode mixing unknown recently blind source separation bs independent component analysis ica used solve problem purpose paper demonstrate applicability ica locate two independent simultaneously active acoustic emission source aluminum band specimen promising non destructive testing aircraft frame structure acoustic emission analysis
physics.ed-ph quant-ph,2008-05-14,visualizing teleportation novel way picturing processing quantum information described allowing direct visualization teleportation quantum state providing simple intuitive understanding fascinating phenomenon discussion aimed providing physicist explaining teleportation non scientist basic idea quantum physic first explained lay term idea used graphical description teleportation arises naturally
hep-th,2007-05-23,quantum field theory curved background ii spacetime symmetry space time symmetry scalar quantum field theory including interacting theory static space time first consider euclidean quantum field theory static riemannian manifold isometry group generated one parameter subgroup either self adjoint unitary quantization analytically continue self adjoint semigroups one parameter unitary group thus construct unitary representation isometry group associated lorentzian manifold illustrated example hyperbolic space whose lorentzian continuation anti de sitter space
math.DG gr-qc,2009-04-20,global theory special finsler manifold aim paper global presentation theory special finsler manifold introduce investigate globally intrinsically free local coordinate many important commonly used special finsler manifold locally minkowskian berwald landesberg general landesberg p reducible c reducible semi c reducible quasi c reducible p finsler c h recurrent c v recurrent c recurrent v recurrent v recurrent second order c like like like p like r like p symmetric h isotropic scalar curvature constant curvature p scalar curvature p curvature global definition special finsler manifold introduced various relationship different type considered special finsler manifold found many local result known literature proved globally several new result obtained product interesting identity property concerning torsion tensor field curvature tensor field deduced although investigation entirely global comparison reason appendix presenting local counterpart global local definition special finsler space considered
math.CA math.FA,2013-10-15,hardy lorentz space h p q r n paper consider hardy lorentz space h p q r n p le q le infty discus atomic decomposition element space interpolation property behavior singular integral operator acting
cond-mat.soft cond-mat.mtrl-sci,2009-11-13,potassium intercalation graphite van der waals density functional potassium intercalation graphite investigated first principle theory bonding potassium graphite compound reasonably well accounted traditional semilocal density functional theory dft calculation however investigate intercalate formation energy pure potassium atom graphite requires description graphite interlayer binding thus consistent account nonlocal dispersive interaction included seamlessly ordinary dft van der waals density functional vdw df phys rev lett vdw df found stabilize graphite crystal crystal parameter fair agreement experiment graphite potassium intercalated graphite structural parameter binding separation layer binding energy formation energy bulk modulus reported adsorption sub surface potassium absorption energy reported vdw df description compared traditional semilocal found weakly soften elastic response
cond-mat.soft cond-mat.mtrl-sci,2009-11-13,phase diagram gaussian core nematics simple nematic liquid crystal made parallel ellipsoidal particle interacting via repulsive gaussian law identifying relevant solid phase system careful zero temperature scrutiny many eleven candidate crystal structure determine melting temperature various pressure value help exact free energy calculation among prominent feature pressure driven reentrant melting stabilization columnar phase intermediate temperature
cond-mat.str-el,2009-11-13,high spin low spin orbital polarization transition multiorbital mott system interplay crystal field splitting hund coupling two orbital capture essential physic system two electron hole e g shell single site dynamical mean field theory recently developed impurity solver able access strong coupling low temperature filling orbitals location phase boundary computed function coulomb repulsion exchange coupling crystal field splitting find hund coupling drive system novel mott insulating phase vanishing orbital susceptibility away half filling crystal field splitting induce orbital selective mott state
physics.pop-ph,2015-05-13,intelligent life cosmology shall three argument proposition intelligent life rare universe first shall summarize consensus opinion founder modern synthesis simpson dobzhanski mayr evolution intelligent life exceedingly improbable second shall develop fermi paradox existed third shall intelligent life common would available resource die shall quantum mechanical principle unitarity actually form teleology requires intelligent life survive end time finally shall argue universe indeed accelerating survival end time requires intelligent life though rare evolved several time visible universe shall argue acceleration consequence excess matter antimatter universe shall suggest experiment test claim
astro-ph,2009-06-23,mass radius unseen dwarf companion single lined eclipsing binary hat tr derive mass radius component single lined eclipsing binary hat tr consists fv primary late dwarf secondary system period short p pm day orbit indistinguishable circular e pm demonstrate generally surface gravity secondary star single lined binary undergoing total eclipse derived characteristic light curve spectroscopic orbit constrains secondary unique line mass radius diagram r constant hat tr assume orbit tidally circularized primary rotation synchronized aligned orbital axis observed line broadening v rm rot sin rm rot pm km give primary radius r rm pm rsun light curve analysis lead radius secondary r rm b pm rsun semimajor axis orbit pm rsun pm au single lined spectroscopic orbit semimajor axis yield individual mass rm b pm msun rm pm msun hat tr lie theoretical mass radius model lyon group consistent result double lined eclipsing binary describe offer opportunity low end stellar mass radius relation
nucl-th,2008-11-26,coulomb excitation unstable nucleus intermediate energy investigate coulomb excitation low lying state unstable nucleus intermediate energy collision e lab sim mev nucleon shown cross section e e transition larger lower energy much le mev nucleon retardation effect coulomb distortion found relevant energy low mev nucleon high mev nucleon implication study radioactive beam facility discussed
math.FA,2007-05-23,intersection body generalized cosine transforms intersection body represent remarkable class geometric object associated section star body invoking radon transforms generalized cosine transforms relevant fourier analysis main focus article interrelation generalized cosine transforms different kind context application investigation certain family intersection body call lam intersection body latter include k intersection body sense koldobsky unit ball finite dimensional subspace l p space particular restriction onto lower dimensional subspace spherical radon transforms generalized cosine transforms preserve integral geometric structure apply section lam intersection body new characterization class body obtained example given review known fact give new proof
cs.DS,2010-01-25,line viterbi algorithm relationship random walk paper introduce line viterbi algorithm decoding hidden markov model hmms much smaller linear space analysis two state hmms suggests expected maximum memory used decode sequence length n state hmm low theta log n without significant slow compared classical viterbi algorithm classical viterbi algorithm requires mn space impractical analysis long dna sequence complete human genome chromosome continuous stream experimentally demonstrate line viterbi algorithm simple hmm gene finding simulated real dna sequence
hep-ph,2008-03-12,experimental effort search ge neutrinoless double beta decay neutrinoless double beta decay one sensitive approach non accelerator particle physic take u regime physic beyond standard article brief review experiment search neutrinoless double beta decay ge following brief introduction process double beta decay ge result first experiment igex heidelberg moscow give indication existence possible neutrinoless double beta decay mode reviewed ongoing effort substantiate early finding presented majorana experiment future experimental allow detailed neutrinoless decay mode discussed
hep-th,2008-11-26,nilpotent symmetry invariance superfield formulation non abelian form gauge theory capture shell well shell nilpotent becchi rouet stora tyutin brst anti brst symmetry invariance lagrangian density four dimensional non abelian form gauge theory within framework superfield formalism particular geometrical interpretation nilpotent symmetry invariance ii lagrangian density language specific quantity defined domain superfield formalism subtle point connected non abelian form gauge theory clarified within framework superfield formalism ordinary gauge theory considered dimensional supermanifold parametrized four spacetime coordinate x mu mu pair grassmannian variable theta bar theta one key result investigation great deal simplification geometrical understanding nilpotent anti brst symmetry invariance
math.AG math.CO,2009-06-03,littlewood richardson polynomial introduce family ring symmetric function depending infinite sequence parameter distinguished basis ring comprised analogue schur function corresponding structure coefficient polynomial parameter call littlewood richardson polynomial give combinatorial rule calculation modifying earlier b sagan new rule provides formula polynomial manifestly positive sense w graham apply formula calculation product equivariant schubert class grassmannians implies stability property structure coefficient first manifestly positive formula expansion given knutson tao combinatorics puzzle stability property apparent formula littlewood richardson polynomial describe multiplication rule algebra casimir element general linear lie algebra basis quantum immanants constructed okounkov g olshanski
hep-th,2007-05-23,lagrangian quantum field theory momentum picture iv commutation relation free field possible algebraic commutation relation lagrangian quantum theory free scalar spinor vector field considered mathematical view point source relation employed heisenberg equation relation dynamical variable specific condition uniqueness operator dynamical variable respect class lagrangians paracommutation relation generalization pointed general one entail validity heisenberg equation simultaneous fulfillment heisenberg equation uniqueness requirement turn impossible solved via redefinition dynamical variable similar normal ordering procedure containing special implies corresponding change admissible commutation relation introduction concept vacuum make narrow class possible commutation relation particular mentioned redefinition dynamical variable reduced normal ordering last restriction class imposed requirement existing effective procedure calculating vacuum mean value standard bilinear commutation relation pointed known one satisfy mentioned condition contradict existing
