categories,update_date,text
cond-mat.mtrl-sci,2007-06-09,order epitaxial self assembled quantum dot linear analysis epitaxial self assembled quantum dot saqds interest nanostructured optoelectronic electronic device laser photodetectors nanoscale logic spatial order size order saqds important development usable device likely two type order strongly linked thus spatial order strong implication size order spatial order undertaken linear analysis commonly used saqd formation surface diffusion analytic formula film height correlation function found characterize quantum dot spatial order corresponding correlation length quantify order initial atomic scale random fluctuation relatively small correlation length two dot effect wetting potential negligible however correlation length diverge saqds allowed form near critical film height reinforces previous finding anisotropy saqd order present explicit transparent mechanism ordering corresponding analytic equation addition saqd formation nature stochastic process various mathematical aspect regarding statistical analysis saqd formation order presented
math.NT math.CV,2007-06-13,note ki z function article petojevic petojevi verified useful property k z function generalize kurepa kurepa left factorial function note simplified proof two result answer open question stated petojevic finally discus differential transcendency k z function
math.DS,2010-01-08,dynamical object cohomologically expanding map goal paper construct invariant dynamical object necessarily invertible smooth self map compact manifold prove take advantage difference rate expansion term sheaf cohomological long exact sequence create unique lift finite dimensional invariant subspace one term sequence invariant subspace preceding term allows u take invariant cohomological class right circumstance construct unique current given type including unique measure given type represent class invariant pullback dynamically interesting self map may plethora invariant measure uniquess constructed current important mean local growth big compared growth rate cohomological class expanding cohomological class give sufficient marching order system prohibit formation invariant current type say local dynamical subsystem subsheaves sheaf current give condition subsheaf cohomology sheaf containing smoothing argument allows u sheaf cohomology current consideration canonically identified derham cohomology group main theorem applied smooth holomorphic setting
cond-mat.mes-hall,2008-01-19,coincidence oscillation dipole transition persistent current narrow quantum ring two electron fractional aharonov bohm oscillation fabo narrow quantum ring two electron studied explained analytical way evolution period amplitude magnetic field exactly described furthermore dipole transition ground state found essentially two frequency difference appears oscillation matching oscillation persistent current exactly number equality relating observables dynamical parameter found
physics.soc-ph,2007-05-23,pairwise comparison typological profile language abstract given compare pair language world atlas language structure
math-ph math.MP,2007-05-23,decomposition maple procedure finding first integral nonlinear pdes order number independent variable paper propose seemingly new finding solution type nonlinear pdes closed form decomposition nonlinear operator sequence operator lower order shown decomposition process done iterative procedure step reduced solution auxiliary pdes system one dependent variable moreover find way explicit expression first order pde first integral decomposable initial pde remarkably first order pde linear initial pde linear highest derivative developed implemented maple procedure really solve many different order pdes different number independent variable example pdes calculated general solution demonstrate potential automatic solving nonlinear pdes
math.AG,2012-03-06,transcendental koll ar injectivity theorem treat koll ar injectivity theorem analytic differential geometric viewpoint precisely give curvature condition implies koll ar type cohomology injectivity theorem main theorem formulated compact k ahler manifold proof us space harmonic form zariski open set suitable complete k ahler metric need neither covering trick desingularizations leray spectral sequence
math.RA,2007-08-22,injective morita context revisited paper exposition called injective morita context connecting bimodule morphisms injective morita alpha context connecting bimodules enjoy local projectivity sense zimmermann huisgen motivated situation one trace ideal action compatibility bimodule morphisms needed introduce notion morita semi context morita investigate injective morita used help static adstatic module establish equivalence intersecting subcategories related subcategories module localized colocalized trace ideal morita datum end application morita alpha context ast module injective right wide morita context
hep-ph hep-ex nucl-ex,2008-11-26,strong decay charmed baryon important experimental progress sector heavy baryon past several year strong decay wave p wave wave radially excited charmed baryon p comparing calculated decay pattern total width available discus possible internal structure quantum number charmed baryon observed recently
hep-ph hep-ex,2008-11-26,cp violation beauty decay precision test kobayashi maskawa cp violation discussed pointing possible signature source cp violation new flavor changing operator current status accurate test summarized
physics.gen-ph,2007-05-23,universal force dark energy dark energy forcing u examine model understanding relativity space time novel idea fundamental force introduced allows u perceive general theory relativity einstein equation new pesrpective addition providing u improved understanding space time shown lead resolution dark energy
gr-qc,2008-11-26,linear perturbation matched spacetimes gauge background symmetry critical review linear perturbation matched spacetimes including gauge problem analyse freedom introduced perturbed matching presence background symmetry revisit particular spherically symmetry n dimension analysis includes setting boundary layer brane world model shell cosmology
math.OA,2007-05-23,operator algebra associated unitary commutation relation define nonselfadjoint operator algebra generator l e l e n l f l f subject unitary commutation relation form l e l f j sum k l u j k l l f l l e k u u j k l nm time nm unitary matrix algebra generalise analytic toeplitz algebra rank graph single vertex classified isometric isomorphism term matrix u
astro-ph,2010-11-11,shaping globular cluster mass function stellar dynamical evaporation globular cluster mass function gcmf milky way depends cluster half mass density rho h sense turnover mass increase rho h width gcmf decrease argue expected signature slow erosion mass function initially rose towards low mass predominantly cluster evaporation driven internal two body relaxation find excellent agreement observed gcmf including dependence internal density rho h central concentration c galactocentric distance r gc simple relaxation driven mass loss rate cluster approximated dm dt mu ev rho h particular recover well known insensitivity r gc feature derive literal universality gcmf turnover mass rather significant variation rho h expected outcome relaxation driven cluster disruption plus significant scatter rho h function r gc conclusion evaporation rate assumed depend instead mean volume surface density cluster inside tidal radius mu ev rho mu ev sigma alternative prescription physically motivated involve cluster property rho sigma well defined readily observable rho h case normalization mu ev required fit gcmf implies cluster lifetime within range standard value although falling towards low end range analysis depend assumption information velocity anisotropy globular cluster system
math.QA hep-th math-ph math.MP math.RT,2007-05-23,quantum deformation relativistic symmetry discussed quantum deformation lorentz poincare algebra poincare algebra shown almost classical r matrix zakrzewski classification correspond twisted deformation abelian jordanian type part twist corresponding r matrix zakrzewski classification given explicit form
cond-mat.other cond-mat.stat-mech,2009-11-13,matter wave bright soliton finite background spinor bose einstein condensate investigate dynamical property bright soliton finite background f spinor bose einstein condensate bec integrable spinor equivalent matrix nonlinear schr dinger equation self focusing nonlineality apply inverse scattering formulated nonvanishing boundary condition resulting soliton solution regarded generalization vanishing boundary condition one soliton solution derived explicit manner according behavior infinity classified two kind domain wall dw type phase shift p type dw type implies ferromagnetic state nonzero total spin p type implies polar state total spin amount zero discus two soliton collision particular spin mixing phenomenon confirmed collision involving dw type result consistent previous study bright soliton vanishing boundary condition dark soliton establish robustness usefulness multiple matter wave soliton spinor becs
hep-th,2008-11-26,something rather nothing everything path integral euclidean geometry recently suggested density matrix universe shown describe microcanonical ensemble quantum cosmology ensemble corresponds uniform weight one distribution phase space true physical variable term observable spacetime geometry peaked complex saddle point em lorentzian path integral represented recently obtained cosmological instantons limited bounded range cosmological constant inflationary cosmology generated instantons late stage expansion undergo acceleration whose low energy scale attained within concept dynamically evolving extra dimension thus together bounded range early cosmological constant cosmological ensemble suggests mechanism constraining landscape string vacuum simultaneously possible solution dark energy form quasi equilibrium decay microcanonical state universe
cond-mat.soft nlin.PS physics.flu-dyn,2009-11-13,formation density singularity ideal hydrodynamics freely cooling inelastic gas family exact solution employ granular hydrodynamics investigate paradigmatic clustering particle freely cooling dilute granular gas consider large scale hydrodynamic motion viscosity heat conduction neglected one arrives equation ideal gas dynamic additional term describing bulk energy loss due inelastic collision employ lagrangian coordinate derive broad family exact non stationary analytical solution depend one spatial coordinate solution exhibit new type singularity gas density blow finite time starting smooth initial condition density blowup signal formation close packed cluster particle density blow time c approached maximum density exhibit power law sim c velocity gradient blow sim c velocity remains continuous develops cusp rather shock discontinuity singularity gas temperature vanishes singularity singularity follows isobaric scenario gas pressure remains finite approximately uniform space constant time close singularity additional exact solution show density blowup type may coexist ordinary shock hydrodynamic field discontinuous finite confirm stability exact solution respect small one dimensional perturbation solving ideal hydrodynamic equation numerically furthermore numerical solution local feature density blowup hold universally independently detail initial boundary condition
hep-th,2009-11-13,universality pp wave discus universality property covariant field theory space time expanded around pp wave background according property space time lagrangian density evaluated restricted set field configuration called universal sector turn around pp wave even shell transverse space profile background scalar paper restrict discussion tensorial field context bosonic string theory consider shell pp wave argue universality requires existence universal sector world sheet operator whose correlation function insensitive pp wave nature metric background gauge flux result reproduced world sheet conformal field theory pp wave non polynomial closed string field theory csft particular argue shell pp wave ansatz flat transverse space dilaton independent transverse coordinate field redefinition relating low energy effective field theory csft massive mode integrated quadratic field simplification expected shell pp wave identified two side furthermore given massless pp wave field configuration iterative computing higher massive mode csft equation motion discussed bosonic string theory analysis generalised common neveu schwarz sector superstring
math.PR,2008-06-17,clustering stochastic one dimensional gas give quantitative analysis clustering stochastic one dimensional gas time zero gas consists n identical particle randomly distributed real line zero initial speed particle begin move force mutual attraction particle collide stick together forming new particle called cluster whose mass speed defined law conservation interested asymptotic behavior k n n infty k n denotes number cluster time system n initial particle main functional limit theorem k n proof discovered localization property aggregation process state behavior particle essentially defined motion neighbor particle
math.DG,2007-06-13,approximate solution dirichlet harmonic map hyperbolic space main paper following given h h n hyperbolic space dimensional n corresponding given holder function f f n partial h partial h n geometric boundary h h n epsilon exists harmonic map u h h n continuous boundary sense euclidean u partial h f f n epsilon
physics.optics,2007-05-23,new experimental photonic flame effect feature result spectral energetical temporal characteristic radiation presence photonic flame effect presented artificial opal posed cu plate temperature liquid nitrogen boiling point k irradiated nanosecond ruby laser pulse produce long term luminiscence duration till ten second finely structured spectrum antistocks part spectrum analogous visible luminescence manifesting time delay appeared sample artificial opal posed plate opal infiltrated different nonlinear liquid threshold luminiscence reduced spatial disribution bright emmiting area opal surface changed putting frozen nonlinear liquid cu plate long term blue bright luminiscence took place frozen specie liquid temporal characteristic luminiscence nearly opal matrix
physics.data-an physics.gen-ph,2007-05-23,general statistical modeling physical law nonparametric regression statistical modeling experimental physical law probability density function measured variable expressed experimental via kernel estimator kernel determined objectively scattering calibration experimental setup physical law relates measured variable optimally extracted experimental conditional average estimator derived directly kernel estimator corresponds general nonparametric regression demonstrated modeling return map noisy chaotic example nonparametric regression used predict future value chaotic time series one mean predictor error used definition predictor quality redundancy expressed mean square distance point statistic used new definition predictor cost function minimum predictor cost function proper number estimated
cs.CE cond-mat.stat-mech cs.MS cs.NA physics.data-an,2007-05-23,real option project schedule rops real option project schedule rops three recursive sampling optimization shell outer adaptive simulated annealing asa optimization shell optimizes parameter strategic plan containing multiple project containing ordered task middle shell sample probability distribution duration task inner shell sample probability distribution cost task pathtree used develop option schedule algorithm used trading risk dimension trd applied develop relative risk analysis among project
math.GR,2009-07-07,group finitely many conjugacy class automorphisms combine classical method combinatorial group theory theory small cancellation relatively hyperbolic group construct finitely generated torsion free group finitely many class conjugate element moreover several result concerning embeddings group another application technique prove every countable group c realized group outer automorphisms group n n finitely generated group kazhdan property containing exactly two conjugacy class
hep-lat hep-ph,2008-11-26,energy density chiral lattice fermion chemical potential recently formulation overlap fermion finite density particular compute energy density function chemical potential temperature shown overlap fermion chemical potential reproduce correct continuum behavior
cond-mat.supr-con cond-mat.str-el,2008-01-16,aspect electron phonon self energy revealed angle resolved photoemission spectroscopy lattice contribution electronic self energy complex correlated oxide fascinating subject lately stimulated lively discussion expectation electron phonon self energy effect simpler material pd al resulted several misconception strongly correlated oxide analyze number argument claiming phonons origin certain self energy effect seen high c cuprate superconductors via angle resolved photoemission experiment arpes including temperature dependence doping dependence renormalization effect inter band scattering bilayer system impurity substitution light experimental evidence detailed simulation argument well founded
astro-ph,2007-05-23,timing lensing colliding bullet cluster barely enough time gravity accelerate bullet semi analytical constraint amount dark matter merging bullet galaxy cluster classical local group timing argument consider particle orbit potential model fit lensing marginally consistent cdm model newtonian gravity found total mass cdm msun cold dm bullet subhalo move v dm km bullet x ray gas move v gas km nearly maximum speed accelerable gravity two truncated cdm halo hubble time even without ram pressure consistency break one adopts higher end error bar bullet gas speed km bullet gas would bound sub cluster halo hubble time model v dm km v gas would invoke unrealistic large amount cdm x msun cdm cluster containing msun gas result generalisable beyond general relativity e g speed km easily obtained relativistic mondian lensing angus et al however mondian little hot dark matter hdm le time msun cdm small halo mass le time msun barely consistent lensing velocity
math.GR math.DG,2012-04-11,geometry locally compact group polynomial growth shape large ball get asymptotics volume large ball arbitrary locally compact group polynomial growth done via geometry generalization p pansu thesis particular weakly commensurable simply connected solvable lie group lie shadow g large ball asymptotic shape e suitable renormalization converge limiting compact set interpreted geometrically discus speed convergence treat example give application ergodic theory answer question burago left invariant metric recover result stoll irrationality growth series nilpotent group
nlin.SI,2007-05-23,much ado note three representation dimensional lie algebra namely algebra lie point symmetry admitted system five trivial ordinary differential equation order forty four admitted system seven trivial ordinary differential equation order twenty eight admitted one trivial ordinary differential equation order two hundred forty four
math-ph math.MP math.OA,2007-05-23,conformal field theory operator algebra review recent progress operator algebraic conformal quantum field theory emphasis representation theory classification theory series joint work r longo
cs.IT math.IT,2009-11-13,sparsely spread cdma statistical mechanic analysis sparse code division multiple access cdma variation standard cdma spreading signature matrix contains relatively small number non zero element presented analysed method statistical physic analysis provides result maximum likelihood decoding sparse spreading code large system limit result case regular irregular spreading matrix binary additive white gaussian noise channel biawgn comparison canonical dense random spreading code
math.FA,2007-05-23,ando inequality convex concave function positive semidefinite matrix b ando zhan proved inequality f f b ge f b g g b le g b unitarily invariant norm non negative operator monotone f infty inverse function g inequality recently generalised non negative concave function f non negative convex function g bourin uchiyama kosem respectively paper consider related question whether inequality f f b le f b g g b ge g b obtained ando operator monotone f inverse g similar generalisation non negative concave f convex g answer exactly question negative general matrix affirmatively special ge b course introduce novel notion dominated majorisation spectrum two hermitian matrix hermitian matrix prove certain property relation allows strengthen result bourin uchiyama kosem mentioned
gr-qc,2008-11-26,topology change black hole topological structure event horizon investigated term morse theory elementary process topological evolution understood handle attachment found certain constraint nature black hole topological evolution kind handle attachment n dimensional black hole space time ii handle classified either black white type black handle appear real black hole space time iii spatial section exterior black hole region always connected corollary shown formation black hole n horizon n horizon must non axisymmetric asymptotically flat space time
